public_identifier;num_accomplishment_honors_awards;title;issuer;issued_on;description
%CA%9F%E1%B4%87%E1%B4%80-%CA%9C%E1%B4%8F%E1%B4%98%E1%B4%87-%CA%99%E1%B4%8F%C9%B4%E1%B4%A2%E1%B4%87%CA%80-b713aa18;2;;View Bug;30-04-2020;2020 Editor Choice Award
%CA%9F%E1%B4%87%E1%B4%80-%CA%9C%E1%B4%8F%E1%B4%98%E1%B4%87-%CA%99%E1%B4%8F%C9%B4%E1%B4%A2%E1%B4%87%CA%80-b713aa18;3;;ArtRoom;31-03-2020;Merit Award
%CA%9F%E1%B4%87%E1%B4%80-%CA%9C%E1%B4%8F%E1%B4%98%E1%B4%87-%CA%99%E1%B4%8F%C9%B4%E1%B4%A2%E1%B4%87%CA%80-b713aa18;4;;ArtRoom Online Gallery;31-03-2020;Merit Award
%CA%9F%E1%B4%87%E1%B4%80-%CA%9C%E1%B4%8F%E1%B4%98%E1%B4%87-%CA%99%E1%B4%8F%C9%B4%E1%B4%A2%E1%B4%87%CA%80-b713aa18;5;;ArtRoom Online Galery;29-02-2020;Merit Award
%CA%9F%E1%B4%87%E1%B4%80-%CA%9C%E1%B4%8F%E1%B4%98%E1%B4%87-%CA%99%E1%B4%8F%C9%B4%E1%B4%A2%E1%B4%87%CA%80-b713aa18;6;;View Bug;31-12-2019;awarded with Elite Award
%CA%9F%E1%B4%87%E1%B4%80-%CA%9C%E1%B4%8F%E1%B4%98%E1%B4%87-%CA%99%E1%B4%8F%C9%B4%E1%B4%A2%E1%B4%87%CA%80-b713aa18;7;;ArtRoom Online Gallery;31-12-2018;1st place in Sky Contest
%CA%9F%E1%B4%87%E1%B4%80-%CA%9C%E1%B4%8F%E1%B4%98%E1%B4%87-%CA%99%E1%B4%8F%C9%B4%E1%B4%A2%E1%B4%87%CA%80-b713aa18;8;;View Bug;31-12-2018;"\""Murk\"" Reworded Top Shot Award for 2019"
%CA%9F%E1%B4%87%E1%B4%80-%CA%9C%E1%B4%8F%E1%B4%98%E1%B4%87-%CA%99%E1%B4%8F%C9%B4%E1%B4%A2%E1%B4%87%CA%80-b713aa18;9;;View Bug;31-12-2018;"\""Murk\"" reworded with Celebrity Award for 2019"
%CA%9F%E1%B4%87%E1%B4%80-%CA%9C%E1%B4%8F%E1%B4%98%E1%B4%87-%CA%99%E1%B4%8F%C9%B4%E1%B4%A2%E1%B4%87%CA%80-b713aa18;10;;View Bug;31-12-2017;Winner of Community Choice Award
%CA%9F%E1%B4%87%E1%B4%80-%CA%9C%E1%B4%8F%E1%B4%98%E1%B4%87-%CA%99%E1%B4%8F%C9%B4%E1%B4%A2%E1%B4%87%CA%80-b713aa18;11;;View Bug;31-12-2016;1st place in Macro Photography
%CA%9F%E1%B4%87%E1%B4%80-%CA%9C%E1%B4%8F%E1%B4%98%E1%B4%87-%CA%99%E1%B4%8F%C9%B4%E1%B4%A2%E1%B4%87%CA%80-b713aa18;12;;View Bug;31-08-2016;WIner in Framing The Sun Contest
%CA%9F%E1%B4%87%E1%B4%80-%CA%9C%E1%B4%8F%E1%B4%98%E1%B4%87-%CA%99%E1%B4%8F%C9%B4%E1%B4%A2%E1%B4%87%CA%80-b713aa18;13;;View Bug;31-05-2016;Winner in Macro Contest
%CA%9F%E1%B4%87%E1%B4%80-%CA%9C%E1%B4%8F%E1%B4%98%E1%B4%87-%CA%99%E1%B4%8F%C9%B4%E1%B4%A2%E1%B4%87%CA%80-b713aa18;14;;View Bug;30-04-2016;winner in Siblings Photo Contest
%CA%9F%E1%B4%87%E1%B4%80-%CA%9C%E1%B4%8F%E1%B4%98%E1%B4%87-%CA%99%E1%B4%8F%C9%B4%E1%B4%A2%E1%B4%87%CA%80-b713aa18;15;;View Bug;29-02-2016;winner in Trees and Snow Contest Award
%CA%9F%E1%B4%87%E1%B4%80-%CA%9C%E1%B4%8F%E1%B4%98%E1%B4%87-%CA%99%E1%B4%8F%C9%B4%E1%B4%A2%E1%B4%87%CA%80-b713aa18;16;;ViewBug;31-12-2015;Winer Selection Award
%CA%9F%E1%B4%87%E1%B4%80-%CA%9C%E1%B4%8F%E1%B4%98%E1%B4%87-%CA%99%E1%B4%8F%C9%B4%E1%B4%A2%E1%B4%87%CA%80-b713aa18;17;;Google;31-10-2015;won shot of the day
%CC%83%CC%89hao-pham-329814181;1;;Cambridge University;null;Graduated high school with an AICE Merit Diploma awarded by Cambridge University.
%7Ecatherine;1;;LA Hacks 2020;01-03-2020;https://devpost.com/software/place-it-n9tq5b
%7Ecatherine;2;;PennApps 2019;01-09-2019;Awarded Best Data Usability for Bikeable, a Boston directions app for bicyclists that uses machine learning to generate directions for users based on prior bike accidents in police reports.
%7Ecatherine;3;;Cal Hacks 5.0;01-11-2018;PictRNNary was awarded the Best use of Microsoft Azure award out of 2300 participants at Cal Hacks 5.0 (see PictRNNary under Projects)
%7Ecatherine;4;;-;null;https://hub.dolby.com/creative-code-youth-take-over-dolby-gallery-scrolling-landscapes/
%7Ekelly;1;2021-02;-;01-08-2021;-The competition case tackles how Home Depot should innovate to thrive in a post-COVID world with a focus on the retail industry and digital transformation.
%7Ekelly;2;;-;01-07-2019;null
%7Ekelly;3;01;Hun Review Magazine;01-01-2019;null
%7Ekelly;4;03;Phillips' Mill Youth Art Exhibition;01-01-2019;null
%7Ekelly;5;02;Scholastic Art & Writing Awards;null;null
%7Ekelly;6;03;Scholastic Art & Writing Awards;null;null
%7Ekelly;7;2016-2020;-;null;null
%7Eniki;1;;Case Western Reserve Univeristy;01-02-2020;null
%7Eniki;2;2019;Dean of Undergraduate Studies;null;GPA 3.75 or higher
%7Epau;1;;Southwest Key Programs;01-07-2019;null
%7Epau;2;;Texas A&M University;01-01-2019;null
%7Epau;3;;Collegeboard;01-06-2018;null
%7Epau;4;;City of Laredo;01-05-2018;null
%7Epau;5;;UIL Boosting Engineering Science and Technology;01-01-2018;null
%7Epau;6;;Texas Music Education Association;01-01-2017;null
%7Epxhan;1;;Virginia Commonwealth University;01-08-2016;null
%7Epxhan;2;2010;Texas Instruments;01-01-2010;null
%7Epxhan;3;2009-2013-2010;Texas Instruments;01-01-2010;Leading a team participating TI DSP contests and won the second prize out of 200+ teams national wide in China, which was the best achievement ever made in Peking University.
%7Epxhan;4;;Peking University;01-01-2008;null
%7Epxhan;5;;Beijing Starlight International Media. Co. Ltd.;01-01-2007;null
%7Esamueltan;1;2014-01;Dartmouth College Computer Science Department;01-06-2014;The John G. Kemeny Computing Prize is awarded annually for innovative computing projects by Dartmouth undergraduates. In addition to public recognition of excellence in computing, it also carries a cash award. I won this award for my Interrupt-oriented programming thesis work.
%C2%A0%F0%9F%93%B2-christopher-james-mckenna-%C2%A0%F0%9F%92%BB%C2%A0-a6350222;1;;United States Patent and Trademark Office;01-03-2018;null
%C2%A0%F0%9F%93%B2-christopher-james-mckenna-%C2%A0%F0%9F%92%BB%C2%A0-a6350222;2;;Family;null;I have three amazing children Estella, Amelia and Spencer. My beautify and amazing wife somehow makes everyday an adventure and complete. Family is the greatest gift ever.
%C3%97julia-watkins-575790a6;1;;PTK Honor Society;01-08-2013;With my continued success in my education I have been able to maintain a high GPA and was invited to join Phi Theta Kappa.
%C3%97julia-watkins-575790a6;2;;Hair Masters Salons;01-02-2002;While salon manager with Hair Masters I was able not only to build a solid client base by going out into the community and meeting people and fellow business managers and owners, but I was able to keep a 100% employee retention rate 3 years in a row. I believe when you invest in your employees they will in turn invest in you.
%C3%A1mbar-hurtado-sevilla-46930b175;1;;null;31-10-2018;Ambassador of Ecuador for a day at the \u201cAround The Wold \u201dFair.
%C3%A1ngel-garza-reyna-bb7158189;1;2019-2019;Duke University;31-08-2018;\u2022\tReceived a GPA of 3.825 or above and placed in the highest third of undergraduates in the respective class.
%C3%A1ngel-garza-reyna-bb7158189;2;2019;Washington Post;30-06-2017;"\u2022\tNamed \""The Pride of El Cenizo\"" for being the first citizen from El Cenizo to be admitted to Duke University. https://www.washingtonpost.com/national/a-tiny-texas-border-city-is-leading-the-charge-against-the-states-immigration-crackdown/2017/06/04/7c167e10-47b3-11e7-a196-a1bb629f64cb_story.html?noredirect=on"
%C3%A1ngel-rodr%C3%ADguez-madera-76ab1153;1;;Managerial and Entrepreneur Science Department;31-05-2012;Most Outstanding Student in Human Resources Manager Concentration of the 2012 Graduating Class.
%C3%A1ngel-rodr%C3%ADguez-madera-76ab1153;2;;Inter American University of Puerto Rico;31-05-2012;3.61
%C3%A1ngel-rodr%C3%ADguez-madera-76ab1153;3;2012;Inter American University & Randall-Rielly;31-05-2012;"This book titled \""Who's Who Among Students in American Universities & Colleges\"" displays the names of the most outstanding and achieving students in all America of a particular year.  I was nominated by the university I developed my undergraduate and am featured in the 78th Volume of the 2012."
%C3%A2ngela-crespo-ph-d-47723693;1;;AAI;01-05-2014;null
%C3%A2ngela-crespo-ph-d-47723693;2;;National Institutes of Health;01-09-2011;null
%C3%A2ngela-crespo-ph-d-47723693;3;;Funda\u00e7\u00e3o para a Ci\u00eancia e Tecnologia;01-09-2009;null
%C3%A2ngela-crespo-ph-d-47723693;4;2013;Faculdade de Ci\u00eancias da Universidade de Lisboa;01-09-2006;null
%C3%A2ngela-crespo-ph-d-47723693;5;2010;Santander-Totta/ Universidade de Lisboa;01-09-2006;null
%C3%A2ngela-crespo-ph-d-47723693;6;2013;Faculdade de Ci\u00eancias da Universidade de Lisboa;01-09-2005;null
%C3%B6zgepelinkuyumcu13;1;;harmony;28-02-2009;P\u0131rlanta uzmanl\u0131\u011f\u0131 \u00fczerine Bursa 2.lik belgesi
%C5%9Fevin-%C3%A7elik-256b2017;1;;Kristal Elma;30-09-2013;Nestle Pure Life Obeziteye Karsi Hareket Zamani Viral Videhttp://www.youtube.com/watch?v=hWTsJgP-abg
%C5%9Fevin-%C3%A7elik-256b2017;2;;Stevie Awards;30-09-2010;Jacobs Monarch Project Web Site
%CA%BBa%CA%BBali%CA%BBi-dukelow-051545178;1;;David and Julia Desha Foundation;31-08-2018;null
%CA%BBa%CA%BBali%CA%BBi-dukelow-051545178;2;;Hawaii Association of Broadcasters;31-08-2018;null
%CA%BBa%CA%BBali%CA%BBi-dukelow-051545178;3;;Costco Wholesale;31-08-2015;null
%CE%B1%CE%B3%CE%BE-mba-tonya-johnson-spratley-0b3177112;1;;United States Navy;null;Southwest Asia Service Medal 01/1995Defense Service Medal 01/1997Armed Forces Expeditionary Medal 01/1992Sea Service Deployment Ribbon 01/1991Humanitarian Service Medal 01/1997Joint Meritorious Unit Commendation 06/1995Good Conduct Medal 05/1996Letter of Appreciation (4) 01/1993Letter of Accommodation (2) 11/1994
%7Eaaron;1;;null;30-11-2019;null
%7Eaaron;2;;null;31-05-2019;null
%7Eaaron;3;;null;31-05-2019;null
%7Eaaron;4;;null;31-05-2019;null
%7Eaaron;5;;null;31-05-2018;null
%7Eaaron;6;;null;31-12-2016;null
%7Eaaron;7;;null;31-08-2016;null
%7Eadministrator;1;;Western Regional Collegiate Cyber Defense Competition (WRCCDC);01-03-2015;Audit compromised network devices, harden critical infrastructure, and troubleshoot misconfigurations. Ensure Service Level Agreement compliance.
%7Edan;1;;New Jersey State Golf Association;31-08-2018;2016, 2017, and 2018 Winner of the NJSGA Caddie Scholarship
%7Edereksmith;1;;-;01-04-2015;null
%7Edereksmith;2;;-;01-01-2014;null
%7Edereksmith;3;03;-;01-10-2009;For \u201cObama Speaks\u201d video, Obama protest at Texas A&M
%7Edereksmith;4;2013;-;01-01-2009;Honor society for two year colleges.
%7Ekristen-harder-90632813;1;;Catto & Catto LLP;31-01-2019;New Business Sales of over $750k in 5 years or less
%7Ekristen-harder-90632813;2;;null;31-01-2019;Became a Partner at Catto & Catto LLP.
%7Ekristen-harder-90632813;3;2018;New Braunfels Chamber of Commerce;30-11-2018;The Rising Star of New Braunfels, is New Braunfels community award program that recognizes young leaders of New Braunfels under the age of 40. This second annual selection process and gala is hosted by the New Braunfels Jaycees, the Herald-Zeitung, and the Chamber of Commerce.The award recognizes 20 rising stars who live and work in the New Braunfels community and are under age 40. This is the 2nd annual Rising Star awards to be given.
%7Ekristen-harder-90632813;4;2016;Catto & Catto;31-12-2016;null
%7Ekristen-harder-90632813;5;;null;31-12-2015;Another blessed year with over $150k in new business sales. God is good!!
%7Ekristen-harder-90632813;6;;North San Antonio Chamber of Commerce;30-11-2015;Leadership Lab is by far one of the best programs I have participated in. Not only did it enhance my career, but also my personal life due to the lessons learned during the Lab sessions. I am so grateful to have been a part of this program, and am excited to join the Alumni Board so that I can have a hand in giving back to future participants.Check out this video featuring the 2015 Leadership Lab Class.  https://www.youtube.com/watch?v=DA-0e7gswEY
%7Ekristen-harder-90632813;7;2014;Catto & Catto LLP;31-01-2015;null
%7Ekristen-harder-90632813;8;;Catto & Catto LLP;30-11-2014;null
%7Ekristen-harder-90632813;9;;Catto & Catto LLP;31-08-2014;null
%7Ekristen-harder-90632813;10;;Catto & Catto LLP;31-07-2014;null
%7Ekristen-harder-90632813;11;;Catto & Catto LLP;30-06-2014;null
%7Ekristen-harder-90632813;12;;Alamo Insurance Group;31-10-2013;Top Producer of the Month!
%7Ekristen-harder-90632813;13;;Alamo Insurance Group;31-07-2013;Top Producer of the Month!
%7Ekristen-harder-90632813;14;2013;Brown & Brown Insurance dba Alamo Insurance Group;31-05-2013;Top Producer for the Month of May!
%7Ekristen-harder-90632813;15;;Alamo Insurance Group;31-03-2013;Top Producer of the Month!
%7Ekristen-harder-90632813;16;;Alamo Insurance Group;31-12-2012;Top Producer of the Month, and for 2012!
%7Ekristen-harder-90632813;17;;Alamo Insurance Group;30-11-2012;Top Producer of the Month!
%7Enavid;1;;-;01-12-2016;Based on outstanding performance as a teaching assistant
%7Enavid;2;;-;01-10-2016;http://www.sparkcleanenergy.org/navid-tafaghodi-khajavi.html
%7Enavid;3;;College of Engineering;01-05-2016;http://www.eng.hawaii.edu/wp-content/gallery/2016-spring-convocation/628g5514.jpg
%7Enavid;4;;-;null;NSF Center for Science of Information (CSoI) Travel Award (2017)The Data Incubator Scholarship (2017)Nominee for 2017 Frances Davis Award (2017)GSO 2013 travel grant (2017)NSF Center for Science of Information (CSoI) Travel Award (2016)GSO 2013 travel grant (2013)UHM Graduate Student Research grant (2011)Ranked 1st among all M.Sc. Communication Engineering students based on GPA (2011)Selected conference paper, IST2010 (2010)Suggested Honorary admission for PhD study, Shahid Beheshti University Brilliant Students (2010)Awarded M.Sc. thesis grant from Education & Research Institute for ICT (2010)Selected for the second Round (among 1%) of national Mathematics, Physics and Computers Olympiads (2003)
%7Esamuel;1;;Microsoft;31-08-2020;Learn Student Ambassadors are a global group of campus leaders who are eager to help fellow students, create robust tech communities and develop technical and career skills for the future.https://studentambassadors.microsoft.com/certificate/4d60b0f0-32b2-4c62-8ed9-c42c4f7c731d
%7Esamuel;2;;Boy Scouts of America;30-09-2017;Achieved this rank, highest rank in the program, attained through the fulfillment of requirements, and completion of service project
%C3%9Fo%C3%9F%C3%9Fy-cravens-543b5223;1;;Houzz.com;01-01-2017;null
%C3%9Fo%C3%9F%C3%9Fy-cravens-543b5223;2;;Living Magazines Best of Readers Choice;01-01-2016;null
%C3%A0riel-marie-giametta;1;;-;null;Consecutively on Dean's List
%C3%A1ine-cain;1;;The College of William and Mary;01-04-2016;For outstanding participation and leadership on campus and community activities, and for service and contribution to the College of William and Mary.
%C3%A1ine-cain;2;;The College of William and Mary;01-04-2016;This award was established to honor a student who has shown excellence in journalistic writing at the College. The College has given this award since 1979 following its endowment by W. Wilford Kale, Jr., an alumnus of William & Mary, who for many years was a reporter of the Richmond-Times Dispatch and the head of the local Williamsburg Bureau.
%C3%A1ine-cain;3;2014;The College of William and Mary;01-05-2014;Awarded to students with a 3.6 GPA or higher
%C3%A1ine-cain;4;;College of William and Mary Department of English;01-04-2014;Judged by Cristina Henriquez, author of two books of fiction, Come Together, Fall Apart and The Half-Known World,  and a third novel, The Book of Unknown Americans, forthcoming in June from Riverhead Books.
%C3%A1ine-cain;5;;College of William and Mary Department of English;01-04-2014;"Received third place for the story \""Bang Bang!\"" Judged by Jennifer Michael Hecht, author of four books of history and philosophy and three books of poetry. Her most recent books are Stay: A History of Suicide and the Philosophies Against It, and the poetry collection Who Says. Says Hecht of \""Bang Bang!\"": \""A lively story of place and characters, this essay vividly describes a very particular moment in a way that speaks to humanity in general. Memorable and generous of spirit.\"
%C3%A1ine-cain;6;2013;The College of William and Mary;01-12-2013;Awarded to students with a 3.6 GPA or higher
%C3%A1ine-cain;7;;The College Board;01-07-2012;Granted to students who receive an average score of at least 3.5 on all AP Exams taken, and scores of 3 or higher on five or more of these exams.
%C3%A1ine-cain;8;;Westchester Branch of the American Association of University Women;01-06-2012;Presented to a senior girl who fulfills the combined criteria of demonstrated community service, academic ability, and potential for future service to women in the resolution of social and civic problems.
%C3%A1ine-cain;9;;Bronxville High School Art Department;01-06-2012;Presented to a student who demonstrates energy, passion, and talent in the visual arts.
%C3%A1ine-cain;10;;American Classical League and the National Junior Classical League;01-01-2009;null
%C3%A1ine-cain;11;;-;null;\u2022 Placed in the 15 percent of class at the College of William and Mary
%C3%A1ine-cain;12;;-;null;\u2022 The College of William and Mary's branch of the national history honor society
%C3%A1lvaro-gamio-cuervo-897730126;1;;Davis Putter Scholarship Fund;31-08-2018;null
%C3%A1lvaro-gamio-cuervo-897730126;2;;The National Association of Student Personnel Administrators (NASPA);31-08-2018;null
